,Tag1,Tag2,Tag3,Tag4,Tag5
,,,,,
2012-07-19 13:02:50,Off,Tag not found,0,0,-901.679199219
2012-07-19 13:03:49.671000,Off,Tag not found,0,0,-901.686096191
2012-07-19 13:04:49.671000,Off,Tag not found,0,0,-901.693054199
2012-07-19 13:05:49.671000,Off,Tag not found,0,0,-901.699951172
2012-07-19 13:06:49.671000,Off,Tag not found,0,0,-901.706848145
2012-07-19 13:07:49.671000,Off,Tag not found,0,0,-901.713745117
2012-07-19 13:08:49.671000,Off,Tag not found,0,0,-901.72064209
2012-07-19 13:09:49.671000,Off,Tag not found,0,0,-901.727600098
2012-07-19 13:10:49.671000,Off,Tag not found,0,0,-901.73449707
2012-07-19 13:11:49.671000,Off,Tag not found,0,0,-901.741394043
2012-07-19 13:12:49.671000,Off,Tag not found,0,0,-901.748291016
2012-07-19 13:13:49.671000,Off,Tag not found,0,0,-901.755249023
2012-07-19 13:14:49.671000,Off,Tag not found,0,0,-901.762145996
2012-07-19 13:15:49.671000,Off,Tag not found,0,0,-901.291992188
2012-07-19 13:16:49.671000,Off,Tag not found,0,0,-901.711303711
2012-07-19 13:17:49.671000,Off,Tag not found,0,0,-901.78503418
2012-07-19 13:18:49.671000,Off,Tag not found,0,0,-901.793823242
2012-07-19 13:19:49.671000,Off,Tag not found,0,0,-901.802612305
2012-07-19 13:20:49.671000,Off,Tag not found,0,0,-901.811401367
2012-07-19 13:21:49.671000,Off,Tag not found,0,0,-901.82019043
2012-07-19 13:22:49.671000,Off,Tag not found,0,0,-901.828979492
2012-07-19 13:23:49.671000,Off,Tag not found,0,0,-901.837768555
2012-07-19 13:24:49.671000,Off,Tag not found,0,0,-901.846557617
2012-07-19 13:25:49.671000,Off,Tag not found,0,0,-901.85534668
2012-07-19 13:26:49.671000,Off,Tag not found,0,0,-901.864196777
2012-07-19 13:27:49.671000,Off,Tag not found,0,0,-901.87298584
2012-07-19 13:28:49.671000,Off,Tag not found,0,0,-901.881774902
2012-07-19 13:29:49.671000,Off,Tag not found,0,0,-901.890563965
2012-07-19 13:30:49.671000,Off,Tag not found,0,0,-901.899353027
2012-07-19 13:31:49.671000,Off,Tag not found,0,0,-901.90814209
2012-07-19 13:32:49.671000,Off,Tag not found,0,0,-901.916931152
2012-07-19 13:33:49.671000,Off,Tag not found,0,0,-901.925720215
2012-07-19 13:34:49.671000,Off,Tag not found,0,0,-901.934509277
2012-07-19 13:35:49.671000,Off,Tag not found,0,0,-901.94329834
2012-07-19 13:36:49.671000,Off,Tag not found,0,0,-901.952087402
2012-07-19 13:37:49.671000,Off,Tag not found,0,0,-901.960876465
2012-07-19 13:38:49.671000,Off,Tag not found,0,0,-901.969665527
2012-07-19 13:39:49.671000,Off,Tag not found,0,0,-901.97845459
2012-07-19 13:40:49.671000,Off,Tag not found,0,0,-901.987304688
2012-07-19 13:41:49.671000,Off,Tag not found,0,0,-901.99609375
2012-07-19 13:42:49.671000,Off,Tag not found,0,0,-902.004882812
2012-07-19 13:43:49.671000,Off,Tag not found,0,0,-902.013671875
2012-07-19 13:44:49.671000,Off,Tag not found,0,0,-902.022460938
2012-07-19 13:45:49.671000,Off,Tag not found,0,0,-902.03125
2012-07-19 13:46:49.671000,Off,Tag not found,0,0,-902.040039062
2012-07-19 13:47:49.671000,Off,Tag not found,0,0,-902.048828125
